K,silhouette,davies_bouldin,calinski_harabasz,rank
6,0.19355462219642752,1.6225742825965013,25.592925148268606,5.0
4,0.1907115671951905,1.6239986204332557,27.152525258154053,6.0
3,0.18060225124123394,1.8124693642315728,30.459589833735524,7.0
5,0.17122006768840622,1.8525677165572556,24.93394081749542,12.0
