,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X6_CDD,X10_IE,X11_RED,X12_TOE,X13_TMATRC,X14_NIVEL_EDUCATIVO,X16_MODALIDAD,X17_GESTION,X18_TURNO,X19_ORGANIZACION_PEDAGOGICA,X20_DIRECTIVOS_TOTAL,X21_MULTIPLICIDAD1,X22_MULTIPLICIDAD2,X24_GPMD,X25_POBLACION_DISTRITO
Y1_ILA,1.0,0.2914674499300968,0.5495707792563131,0.0029384899815776237,-0.14282782265782842,-0.2216248730325389,0.23689542438652356,0.09794674309802154,0.08594657244123555,-0.09275153341517939,0.0570319496531008,-0.09805186683449868,-0.02440743560926628,0.28478065655355406,-0.03125678354922166,-0.047981858921474926,-0.07985997438266466,-0.11487124453713003,-0.05226962394598353,0.02971692668477897,0.2025902169951879
Y2_TD,0.2914674499300968,1.0,-0.044214714587804946,0.4882801776317186,-0.07163028993584852,0.16354114269025113,0.45778440292246203,0.2359315304490802,0.03198452483299789,0.04133951587288139,-0.029447912006159822,0.027955271503606,-0.020402082057317934,0.4981024359218076,-0.1040222711820957,0.09126960982411457,-0.01489898248080807,-0.023445971615792947,0.0029113724391278926,-0.3453571342227639,0.07639175477372061
Y3_PR,0.5495707792563131,-0.044214714587804946,1.0,-0.07419781100594756,0.0012940856001379252,-0.09976360326435277,-0.13233884264653548,-0.00989246726875413,-0.08362800094672317,-0.13238980084021762,-0.041290343943563027,0.007340246327849185,0.046454988142220946,-0.016586199915025683,-0.04769440753280696,0.0756503167917152,0.07688578216402993,-0.09084635868584837,-0.08471596150291666,0.08129499065353914,-0.003126805915654044
X1_NVC,0.0029384899815776237,0.4882801776317186,-0.07419781100594756,1.0,0.204404831552765,0.11308181690677455,0.31994950500523145,0.039151178485621205,-0.04078001613960794,-0.10263797101832935,-0.13904252215833823,0.09156185749391796,-0.012328778690921841,0.37156083693031466,-0.0399455754933773,0.07200729829308627,0.0005391507618173401,0.030123801019689162,0.029294743644532703,-0.5285936265662563,-0.0765734041322246
X2_TR,-0.14282782265782842,-0.07163028993584852,0.0012940856001379252,0.204404831552765,1.0,0.371245705928104,-0.05983294282797095,-0.3885098312764662,-0.5024783789268538,-0.3138875304838435,-0.23920271957195888,-0.3831086465229819,-0.05350687511966687,-0.14563469841093662,-0.44694640199224284,0.14157029804124283,-0.011328151396596316,-0.0983642067425823,-0.21857909445992463,-0.21070174640110279,-0.07578171486080171
X4_IDD,-0.2216248730325389,0.16354114269025113,-0.09976360326435277,0.11308181690677455,0.371245705928104,1.0,0.3096410671817917,-0.047700167118850834,-0.2817559813907139,0.06402952571850364,-0.18360002876561052,-0.0718536437983998,-0.05970061018236378,0.23754197966807147,-0.17198432483170642,0.1671227728775724,0.09436756469989332,-0.01843431477987377,-0.110148229434612,-0.4059111417481387,-0.3314123833155518
X6_CDD,0.23689542438652356,0.45778440292246203,-0.13233884264653548,0.31994950500523145,-0.05983294282797095,0.3096410671817917,1.0,0.29038021622956256,0.18447094109275544,0.146902725106764,0.020830642241803008,-0.058014390046475746,-0.10423254307881834,0.7289999365062244,-0.09076894043831853,0.03856635491914543,-0.12506476098711147,0.10588602233276852,0.15664527607969014,-0.6272302034475172,-0.08553274926237196
X10_IE,0.09794674309802154,0.2359315304490802,-0.00989246726875413,0.039151178485621205,-0.3885098312764662,-0.047700167118850834,0.29038021622956256,1.0,0.241177996367197,0.3265859875631864,0.03308190093806886,0.2837255034738,0.020699908707222357,0.2946149494251056,0.2031270428386836,0.028777768708464508,-0.07961937461369985,0.14277321461708978,0.17875959548299503,-0.08453997977029255,0.010651324196028465
X11_RED,0.08594657244123555,0.03198452483299789,-0.08362800094672317,-0.04078001613960794,-0.5024783789268538,-0.2817559813907139,0.18447094109275544,0.241177996367197,1.0,0.26636018027051184,0.24706621233958065,0.2907043755294012,0.0482046631643476,0.2889824832197037,0.3953832162048854,-0.08589321475105606,-0.09307034633324122,0.210085665721813,0.5058910697606792,0.023203985872352336,0.1382910807318449
X12_TOE,-0.09275153341517939,0.04133951587288139,-0.13238980084021762,-0.10263797101832935,-0.3138875304838435,0.06402952571850364,0.146902725106764,0.3265859875631864,0.26636018027051184,1.0,0.15355491497827406,0.30664320406123363,0.13372774928441122,0.19321940020171915,0.22896401839418798,0.10260912131487945,0.19579380357341464,0.07821605638038713,0.12620464400625467,-0.034149473746385293,-0.1219468600687668
