CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,Y1_ILA_ZSCORE,Y2_TD_ZSCORE,Y3_PR_ZSCORE,X1_NVC_ZSCORE,X4_IDD_ZSCORE,X5_ED_ZSCORE,X6_CDD_ZSCORE,X10_IE_ZSCORE,X11_RED_ZSCORE,X13_TMATRC
3916573,VIRGEN DE LAS MERCEDES,48,-4.880568,-80.14513,190.0,1.6679,0.16460000000000005,0.0410958904109589,4.0,2,2.997595884226937,0.2499999999999999,2.27710843373494,0.4962,9.0,1,0,,,,,,,,,9.0,0.0
838455,HUARAC HUARAN,54,-9.234663,-77.96693,3591.0,1.3411,0.10715000000000004,0.0224771873322597,4.0,2,3.3350700958378856,0.2499999999999999,2.1578947368421053,0.4962,12.0,1,0,,,,,,,,,12.0,0.0
3891735,MARIA AUXILIADORA,48,-4.84999,-80.18052,168.0,1.6679,0.16460000000000005,0.0410958904109589,4.0,2,2.9926264661964264,0.2499999999999999,2.27710843373494,0.4962,9.0,1,0,,,,,,,,,9.0,-0.4
1315084,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.1856356685416516,0.10415000000000012,0.0224771873322597,4.0,2,3.330695688311148,0.5333333333333333,2.1578947368421053,0.4962,11.153846153846152,4,1,,,,,,,,,11.153846153846153,1.0
414987,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.3411,0.10715000000000004,0.0224771873322597,4.0,2,3.330695688311148,0.8,2.1578947368421053,0.4962,12.2,3,1,,,,,,,,,12.2,-5.5
1376268,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.3411,0.10715000000000004,0.0224771873322597,4.0,2,2.25,0.5,2.1578947368421053,0.871,21.5,3,1,,,,,,,,,21.5,0.0
415059,86731,54,-9.190619,-77.99803,2900.0,1.3411,0.10715000000000004,0.0224771873322597,4.0,2,3.3274719657452723,1.0,2.1578947368421053,0.4962,7.0,1,1,,,,,,,,,7.0,0.3333333333333333
1633189,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.1333333333333333,0.10860000000000013,0.0224771873322597,4.0,2,3.327381068673751,0.5,2.1578947368421053,0.4962,5.125,4,1,,,,,,,,,5.125,-2.8
415117,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.3411,0.10715000000000004,0.0224771873322597,4.0,2,3.327381068673751,0.3333333333333333,2.1578947368421053,0.4962,12.0,3,1,,,,,,,,,12.0,-2.333333333333333
1608132,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.3411,0.10715000000000004,0.0224771873322597,4.0,2,3.327381068673751,0.0,2.1578947368421053,0.781,7.5,3,1,,,,,,,,,7.5,0.3333333333333333
