anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,departamento,provincia,distrito,centro_poblado,codigo_local,periodo_promocion,codigo_modular,anexo,nombre_ie,gestion,nivel,grado,seccion,turno,total_alumnos,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,,0541201,0,88247 SAN ENRIQUE,P£blica,Primaria,PRIMERO,UNICA,Ma¤ana,9,541201,27641,9,CODIGO_MODULAR_NORMALIZADO,88247 SAN ENRIQUE,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,,0541201,0,88247 SAN ENRIQUE,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,10,541201,27641,10,CODIGO_MODULAR_NORMALIZADO,88247 SAN ENRIQUE,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,,1678879,0,693,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,GOTITAS DE AMOR,Ma¤ana,2,1678879,862206,2,CODIGO_MODULAR_EXACTO,693,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,,0686386,0,88327,P£blica,Primaria,QUINTO,A,Ma¤ana,5,686386,27716,5,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,,0818682,0,87009-01,P£blica,Primaria,PRIMERO,UNICA,Ma¤ana,13,818682,27603,13,CODIGO_MODULAR_NORMALIZADO,87009-01,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,,0415117,0,86769 ABRAHAM VALDELOMAR,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,12,415117,27556,12,CODIGO_MODULAR_NORMALIZADO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,027575,,0520221,0,86809,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,6,520221,27575,6,CODIGO_MODULAR_NORMALIZADO,86809,54,2025-08-09T17:52:07.139152
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CARAP,027716,,0686386,0,88327,P£blica,Primaria,SEXTO,A,Ma¤ana,7,686386,27716,7,CODIGO_MODULAR_NORMALIZADO,88327,54,2025-08-09T17:52:07.153181
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,,0415117,0,86769 ABRAHAM VALDELOMAR,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,9,415117,27556,9,CODIGO_MODULAR_NORMALIZADO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:52:07.153181
2019,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUASCAR,027556,,1633189,0,86769 ABRAHAM VALDELOMAR,P£blica,Secundaria,SEGUNDO,UNICA,Ma¤ana,15,1633189,27556,15,CODIGO_MODULAR_EXACTO,86769 ABRAHAM VALDELOMAR,54,2025-08-09T17:52:07.153181
