codigo_modular,X5_ED,fuente
1401124,0.0,x5_ed_tabla
402248,0.45454545454545453,x5_ed_tabla
1104801,0.4666666666666667,x5_ed_tabla
1315084,0.5333333333333333,x5_ed_tabla
414987,0.8,x5_ed_tabla
1376268,0.5,x5_ed_tabla
415059,1.0,x5_ed_tabla
1633189,0.5,x5_ed_tabla
415117,0.3333333333333333,x5_ed_tabla
1608132,0.0,x5_ed_tabla
415141,0.0,x5_ed_tabla
1376300,0.6,x5_ed_tabla
520221,1.0,x5_ed_tabla
818682,0.6666666666666666,x5_ed_tabla
1551944,0.0,x5_ed_tabla
1376318,0.0,x5_ed_tabla
541201,1.0,x5_ed_tabla
686386,1.0,x5_ed_tabla
1598861,0.6,x5_ed_tabla
1197987,0.47058823529411764,x5_ed_tabla
424770,0.23255813953488372,x5_ed_tabla
1200906,0.4090909090909091,x5_ed_tabla
409797,0.3333333333333333,x5_ed_tabla
410118,0.3333333333333333,x5_ed_tabla
933937,0.5,x5_ed_tabla
933960,0.3684210526315789,x5_ed_tabla
410316,0.5,x5_ed_tabla
1062058,0.5,x5_ed_tabla
409706,0.6666666666666666,x5_ed_tabla
410100,0.42857142857142855,x5_ed_tabla
204933,1.0,x5_ed_tabla
519793,0.6666666666666666,x5_ed_tabla
592428,1.0,x5_ed_tabla
205716,0.5,x5_ed_tabla
409672,0.38095238095238093,x5_ed_tabla
410225,0.3333333333333333,x5_ed_tabla
410233,0.3333333333333333,x5_ed_tabla
410258,0.25,x5_ed_tabla
410266,1.0,x5_ed_tabla
204974,0.5333333333333333,x5_ed_tabla
205401,1.0,x5_ed_tabla
487140,0.5,x5_ed_tabla
592543,0.6666666666666666,x5_ed_tabla
428714,1.0,x5_ed_tabla
600692,0.4444444444444444,x5_ed_tabla
421594,1.0,x5_ed_tabla
633040,0.5,x5_ed_tabla
420380,0.6666666666666666,x5_ed_tabla
420406,1.0,x5_ed_tabla
1060276,0.2777777777777778,x5_ed_tabla
420430,1.0,x5_ed_tabla
420448,1.0,x5_ed_tabla
420562,1.0,x5_ed_tabla
740365,0.4444444444444444,x5_ed_tabla
686741,0.5,x5_ed_tabla
428771,0.8333333333333334,x5_ed_tabla
687194,1.0,x5_ed_tabla
579987,0.38095238095238093,x5_ed_tabla
227900,0.17647058823529413,x5_ed_tabla
239905,0.12121212121212122,x5_ed_tabla
1155530,0.3333333333333333,x5_ed_tabla
386755,0.18181818181818182,x5_ed_tabla
701284,0.21428571428571427,x5_ed_tabla
229799,0.0,x5_ed_tabla
715011,0.5,x5_ed_tabla
733535,0.2727272727272727,x5_ed_tabla
272773,0.2857142857142857,x5_ed_tabla
273359,0.0,x5_ed_tabla
1568799,0.0,x5_ed_tabla
733600,0.5,x5_ed_tabla
1343813,0.0,x5_ed_tabla
1370717,0.11764705882352941,x5_ed_tabla
1374834,0.5,x5_ed_tabla
1457605,0.25,x5_ed_tabla
1772672,0.14285714285714285,x5_ed_tabla
1495167,1.0,x5_ed_tabla
1402866,1.0,x5_ed_tabla
428920,1.0,x5_ed_tabla
1625904,0.0,x5_ed_tabla
1741123,0.3333333333333333,x5_ed_tabla
1636455,0.0,x5_ed_tabla
1457365,0.16666666666666666,x5_ed_tabla
1678879,1.0,x5_ed_tabla
1147735,0.7999999999999999,docentes_data
1148402,1.0,docentes_data
1151331,0.8,docentes_data
1152057,0.8,docentes_data
1152321,0.8,docentes_data
1153527,1.0,docentes_data
1153881,1.0,docentes_data
1153964,0.8800000000000001,docentes_data
1154368,1.0,docentes_data
1154400,0.8,docentes_data
1210491,0.8,docentes_data
1261577,0.8,docentes_data
1261775,1.0,docentes_data
1262856,1.0,docentes_data
1273960,1.0,docentes_data
1320001,1.0,docentes_data
1433515,1.0,docentes_data
1516269,1.0,docentes_data
1516277,1.0,docentes_data
1527399,0.8,docentes_data
1625938,0.8,docentes_data
1625987,0.8,docentes_data
1626001,0.8,docentes_data
1681212,1.0,docentes_data
1715416,1.0,docentes_data
1715424,1.0,docentes_data
1715440,1.0,docentes_data
1715820,1.0,docentes_data
1745710,1.0,docentes_data
1745728,1.0,docentes_data
1785138,1.0,docentes_data
260307,0.8,docentes_data
271379,0.8000000000000002,docentes_data
271551,1.0,docentes_data
275107,0.8,docentes_data
350447,0.8000000000000002,docentes_data
350496,0.7999999999999999,docentes_data
355271,0.8000000000000002,docentes_data
355289,0.8,docentes_data
398313,0.8421052631578947,docentes_data
398347,1.0,docentes_data
398370,1.0,docentes_data
464610,0.8,docentes_data
464628,0.8,docentes_data
530535,0.8,docentes_data
561084,0.7999999999999999,docentes_data
571232,1.0,docentes_data
571356,1.0,docentes_data
595082,0.96,docentes_data
