codigo_target,X6_CDD,red_origen,num_evaluaciones,fuente,metodo
683466,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1527233,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
683474,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
682211,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1261775,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
571232,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
737783,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
737791,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
937813,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
938118,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
938142,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
674895,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
260307,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
350447,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1785484,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1785476,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
916023,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
260315,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1715820,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
571745,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
350496,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
571356,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
613943,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
464610,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
464628,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
355271,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
552661,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
561084,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
355289,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
673780,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
840595,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
840504,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
626424,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
595082,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
595108,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
715011,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
271379,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
271551,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
275107,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
530535,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
733535,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
272773,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
273359,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
657122,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
666677,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1568799,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
733600,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
807156,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1335744,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1343813,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
830885,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1374834,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
1433515,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1457605,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
1772672,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
1495167,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
1516269,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1516277,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1402866,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
428920,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
1625904,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1625938,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1625987,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1626001,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1741123,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
1636455,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
1378355,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1273960,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1263219,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1682285,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1527365,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1527340,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1527381,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1527373,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1262856,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1457365,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
1681212,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1236397,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1236967,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1527399,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1715416,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1715424,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1715440,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1745710,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
1745728,2.2771084337349397,48,249,Competencia_Digital_Red,promedio_red_docentes
697714,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
421222,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
1785138,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
1151695,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1791433,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1791466,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
1678879,2.1578947368421053,54,19,Competencia_Digital_Red,promedio_red_docentes
1781897,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
2533906,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
3025715,2.098159509202454,44,163,Competencia_Digital_Red,promedio_red_docentes
0428714,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
0304642,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
0488403,2.1578947368421053,54,19,Competencia_Digital_Red,promedio_red_docentes
0481093,1.7012987012987013,72,77,Competencia_Digital_Red,promedio_red_docentes
1768829,1.7668711656441718,47,163,Competencia_Digital_Red,promedio_red_docentes
0600692,1.7714285714285714,79,105,Competencia_Digital_Red,promedio_red_docentes
