codigo_modular,nombre_institucion,red_fya,entra_estudio_clustering,Y1_ILA,Y1_ILA_zscore,Y2_TD,Y2_TD_zscore,Y2_TD_categoria,X1_NVC,X1_NVC_zscore,X2_TR,X4_IDD,X4_IDD_zscore,X10_IE,X10_IE_zscore,X11_RED_ajustado,X11_RED,X11_RED_zscore,X12_TOE,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,X15_MEIB,total_docentes_ajustado,metodo_ajuste,numero_fya,nombre_red_fya_matched,total_estudiantes,total_docentes
409706,50495,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,15.666666666666666,,,,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.014595034919316685,7.540206850610829,,3.0,SIN_AJUSTE,,,,
410100,50535,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,13.428571428571429,,,,-4.0,ESTABLE,0.09087393998624904,8.704898728601224,,7.0,SIN_AJUSTE,,,,
204933,50715,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,8.0,,,,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.008534920414227098,28.219616214693616,,1.0,SIN_AJUSTE,,,,
519793,50912,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,8.666666666666666,,,,-0.8,ESTABLE,0.18848603806737496,7.772268862134539,,3.0,SIN_AJUSTE,,,,
592428,50976,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,14.666666666666666,,,,-1.6666666666666667,ESTABLE,0.18848603806737496,7.516285169128069,,3.0,SIN_AJUSTE,,,,
205716,50796,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,15.5,,,,-0.8,ESTABLE,0.4523703606773608,7.814503943135655,,2.0,SIN_AJUSTE,,,,
409672,50492 CORAZON DE JESUS,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,19.333333333333332,,,,-3.5,ESTABLE,0.060289173990602185,1.9044424224555094,,21.0,SIN_AJUSTE,,,,
410225,50547,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,13.666666666666666,,,,-6.5,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227098,19.380862157993263,,3.0,SIN_AJUSTE,,,,
410233,50550,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,9.333333333333334,,,,0.5,ESTABLE,0.5730251193553904,10.91089451179962,,3.0,SIN_AJUSTE,,,,
410258,50552 TUPAC AMARU II,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,11.571428571428571,,,,-4.666666666666667,ESTABLE,0.060289173990602185,6.767798849277875,,7.0,SIN_AJUSTE,,,,
