codigo_target,X4_IDD,fuente,metodo,num_docentes
398347,2.7375149495311275,Regresion_1_4,regresion_normalizada_r2_0.405,0
398370,2.77366137688134,Regresion_1_4,regresion_normalizada_r2_0.405,0
738419,2.7592242156154683,Regresion_1_4,regresion_normalizada_r2_0.405,0
738427,2.7594370557342955,Regresion_1_4,regresion_normalizada_r2_0.405,0
1153527,2.7569262149356883,Regresion_1_4,regresion_normalizada_r2_0.405,0
1153881,2.7853932650579756,Regresion_1_4,regresion_normalizada_r2_0.405,0
1154129,2.7686225000733264,Regresion_1_4,regresion_normalizada_r2_0.405,0
1563212,2.7791134769767343,Regresion_1_4,regresion_normalizada_r2_0.405,0
1154368,2.7791134769767343,Regresion_1_4,regresion_normalizada_r2_0.405,0
1154608,2.763536742051697,Regresion_1_4,regresion_normalizada_r2_0.405,0
1148402,2.7442566966452877,Regresion_1_4,regresion_normalizada_r2_0.405,0
651398,2.750320636174799,Regresion_1_4,regresion_normalizada_r2_0.405,0
683466,2.769225488275419,Regresion_1_4,regresion_normalizada_r2_0.405,0
1527233,2.7732067398379883,Regresion_1_4,regresion_normalizada_r2_0.405,0
683474,2.7732067398379883,Regresion_1_4,regresion_normalizada_r2_0.405,0
682211,2.7423915346722643,Regresion_1_4,regresion_normalizada_r2_0.405,0
1261775,2.794728980334133,Regresion_1_4,regresion_normalizada_r2_0.405,0
571232,3.011184146494671,Regresion_1_4,regresion_normalizada_r2_0.405,0
737783,2.994461419781223,Regresion_1_4,regresion_normalizada_r2_0.405,0
737791,2.9930413227047685,Regresion_1_4,regresion_normalizada_r2_0.405,0
937813,3.0061988610769763,Regresion_1_4,regresion_normalizada_r2_0.405,0
938118,3.0160335668043023,Regresion_1_4,regresion_normalizada_r2_0.405,0
938142,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
674895,2.9926190439733493,Regresion_1_4,regresion_normalizada_r2_0.405,0
260307,2.9945167720186197,Regresion_1_4,regresion_normalizada_r2_0.405,0
350447,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1785484,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
1785476,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
916023,1.5,Regresion_1_4,regresion_normalizada_r2_0.405,0
