codigo_modular,nombre_institucion,red_fya,entra_estudio_clustering,Y1_ILA,Y1_ILA_zscore,Y2_TD,Y2_TD_zscore,Y2_TD_categoria,X1_NVC,X1_NVC_zscore,X2_TR,X4_IDD,X4_IDD_zscore,X10_IE,X10_IE_zscore,X11_RED_zscore,X12_TOE,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,X15_MEIB,total_docentes_ajustado,metodo_ajuste,numero_fya,nombre_red_fya_matched,total_estudiantes,total_docentes,X11_RED
3916573,VIRGEN DE LAS MERCEDES,Red Fe y Alegría 48,Sí,,,0.2459,,Mejora,,,2.0,,,,,,,0.0,ESTABLE,1.0,13.216815980817294,,1.0,SIN_AJUSTE,48.0,Red Fe y Alegría 48,,,9.0
838455,HUARAC HUARAN,Red Fe y Alegría 54,Sí,,,0.1902,,Mejora,,,3.0,,,,,,,0.0,ESTABLE,1.0,30.80766829923197,,1.0,SIN_AJUSTE,54.0,Red Fe y Alegría 54,,,12.0
3891735,MARIA AUXILIADORA,Red Fe y Alegría 48,Sí,,,0.2459,,Mejora,,,2.0,,,,,,,-0.4,ESTABLE,0.7071142312899612,24.816880071633783,,1.0,SIN_AJUSTE,48.0,Red Fe y Alegría 48,,,9.0
1315084,86548 JOSE MARIA VELAZ,Red Fe y Alegría 54,Sí,1.1856356685416516,,0.1993,,Mejora,,,2.0,,,,,,,1.0,ESTABLE,0.13285495573105388,3.2094556102952616,,13.0,SIN_AJUSTE,54.0,Red Fe y Alegría 54,,,11.153846153846153
414987,86548 JOSE MARIA VELAZ,Red Fe y Alegría 54,Sí,,,0.1902,,Mejora,,,2.0,,,,,,,-5.5,ESTABLE,0.060289173990602185,12.292473306510193,,5.0,SIN_AJUSTE,54.0,Red Fe y Alegría 54,,,12.2
1376268,86548 JOSE MARIA VELAZ,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,0.0,ESTABLE,1.0,10.438236502668516,,2.0,SIN_AJUSTE,,,,,21.5
415059,86731,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,0.3333333333333333,ESTABLE,0.8509806870320558,40.8248290463863,,1.0,SIN_AJUSTE,,,,,7.0
1633189,86769 ABRAHAM VALDELOMAR,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,-2.8,ESTABLE,0.2596563563704499,13.822176714362207,,8.0,SIN_AJUSTE,,,,,5.125
415117,86769 ABRAHAM VALDELOMAR,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,-2.3333333333333335,ESTABLE,0.13285495573105388,13.148215783176958,,3.0,SIN_AJUSTE,,,,,12.0
1608132,86769 ABRAHAM VALDELOMAR,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,0.3333333333333333,ESTABLE,1.0,12.319007320824776,,2.0,SIN_AJUSTE,,,,,7.5
415141,86783,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,-2.0,ESTABLE,0.18848603806737496,5.5091133150320415,,4.0,SIN_AJUSTE,,,,,15.25
1376300,86783,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,6.6,CRECIMIENTO_SIGNIFICATIVO,0.03877750439230665,15.534404950855526,,9.0,SIN_AJUSTE,,,,,11.555555555555555
520221,86809,Red Fe y Alegría 54,Sí,,,,,,,,,,,,,,,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.008534920414227098,19.50483259703462,,2.0,SIN_AJUSTE,,,,,8.0
