codigo_modular,nombre_institucion,X13_TMATRC,X13_TMATRC_MANN_KENDALL_S,X13_TMATRC_MANN_KENDALL_Z,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_CATEGORIA
1152057,604,-2.3333333333333335,-14.0,-2.442274735232083,0.014595034919316685,DECRECIMIENTO_SIGNIFICATIVO
1152255,656,0.5,9.0,1.502938298604359,0.13285495573105388,ESTABLE
1152321,678,-0.25,-2.0,-0.18786728732554486,0.8509806870320558,ESTABLE
1261577,60133,17.0,11.0,1.8786728732554487,0.060289173990602185,ESTABLE
398313,60133,-7.6,-15.0,-2.630142022557628,0.008534920414227098,DECRECIMIENTO_SIGNIFICATIVO
398347,60136,1.75,8.0,1.315071011278814,0.18848603806737474,ESTABLE
398370,60181,1.0,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
738419,601330,1.0,4.0,0.5636018619766346,0.5730251193553904,ESTABLE
1147735,601331,4.0,5.0,0.7514691493021795,0.4523703606773608,ESTABLE
1153527,601391,1.0,6.0,0.9393364366277244,0.34755803674116903,ESTABLE
1153881,601444,1.0,8.0,1.315071011278814,0.18848603806737474,ESTABLE
1153964,601448,-1.8,-11.0,-1.8786728732554487,0.060289173990602185,ESTABLE
1154129,601496,-1.5,-5.0,-0.7514691493021795,0.4523703606773608,ESTABLE
1563212,601511,-0.2,-2.0,-0.18786728732554486,0.8509806870320558,ESTABLE
1154368,601511,2.6,13.0,2.2544074479065386,0.024170547174545254,CRECIMIENTO_SIGNIFICATIVO
1154400,601514,0.0,0.0,0.0,1.0,ESTABLE
1154608,601528,-0.6666666666666666,-6.0,-0.9393364366277244,0.34755803674116903,ESTABLE
1148402,6010102,3.0,11.0,1.8786728732554487,0.060289173990602185,ESTABLE
651398,6010178,0.8,4.0,0.5636018619766346,0.5730251193553904,ESTABLE
1210491,6010230 BARBARA D'ACHILLE,-2.0,-9.0,-1.502938298604359,0.13285495573105388,ESTABLE
683466,6010230 BARBARA D'ACHILLE,-2.0,-7.0,-1.1272037239532693,0.25965635637045015,ESTABLE
1527233,6010231,3.25,8.0,1.315071011278814,0.18848603806737474,ESTABLE
683474,6010231,-1.0,-2.0,-0.18786728732554486,0.8509806870320558,ESTABLE
682211,EL MILAGRO,13.666666666666666,13.0,2.2544074479065386,0.024170547174545254,CRECIMIENTO_SIGNIFICATIVO
1261775,601563,1.5,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
571232,58,2.0,5.0,0.7514691493021795,0.4523703606773608,ESTABLE
737783,467,-1.0,-6.0,-0.9393364366277244,0.34755803674116903,ESTABLE
737791,469,3.0,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
937813,489 JOSE MARIA VELAZ,0.75,3.0,0.3757345746510897,0.7071142312899614,ESTABLE
938118,731,3.5,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
938142,732 VIRGEN DE MONSERRAT,-0.25,-2.0,-0.18786728732554486,0.8509806870320558,ESTABLE
674895,14045,0.2,5.0,0.7514691493021795,0.4523703606773608,ESTABLE
260307,14141,-1.4,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
916023,14144 SANTA ROSA,19.6,11.0,1.8786728732554487,0.060289173990602185,ESTABLE
260315,14145 SANTA JULIA BILLIART,0.6666666666666666,2.0,0.18786728732554486,0.8509806870320558,ESTABLE
1715820,14894,2.0,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
571745,14894,-1.6666666666666667,-10.0,-1.6908055859299038,0.09087393998624904,ESTABLE
571356,14924 DANIEL ALCIDES CARRION,-12.75,-5.0,-0.7514691493021795,0.4523703606773608,ESTABLE
613943,14975,-2.5,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
464610,15219,0.6,6.0,0.9393364366277244,0.34755803674116903,ESTABLE
464628,15220,0.0,1.0,0.0,1.0,ESTABLE
355271,15304,-2.4,-13.0,-2.2544074479065386,0.024170547174545254,DECRECIMIENTO_SIGNIFICATIVO
552661,15314,1.0,7.0,1.1272037239532693,0.25965635637045015,ESTABLE
561084,SAGRADO CORAZON DE JESUS,1.8,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
355289,15383,-3.0,-9.0,-1.502938298604359,0.13285495573105388,ESTABLE
