rowid,codigo_modular,region,provincia,distrito,pobreza_monetaria_distrito,metodo_vinculacion
202,1153964,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
203,1154129,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
204,1563212,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
205,1154368,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
206,1154400,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
207,1154608,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
208,1148402,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
209,651398,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
210,1210491,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
211,683466,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
212,1527233,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
213,683474,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
214,682211,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
215,1261775,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
232,571232,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
233,737783,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
234,737791,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
235,937813,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
236,938118,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
237,938142,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
238,674895,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
239,260307,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
240,350447,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
241,1785484,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
242,1785476,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
243,916023,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
244,260315,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
245,1715820,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
246,571745,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
247,350496,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
248,571356,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
249,613943,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
250,464610,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
251,464628,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
252,355271,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
253,552661,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
254,561084,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
255,355289,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
256,673780,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
257,840595,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
258,840504,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
259,626424,DRE PIURA,AYABACA,SAPILLICA,,sin_vinculo
272,595082,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
273,595108,DRE UCAYALI,CORONEL PORTILLO,MANANTAY,,sin_vinculo
274,715011,DRE UCAYALI,CORONEL PORTILLO,MANANTAY,,sin_vinculo
275,271379,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
276,271551,DRE UCAYALI,CORONEL PORTILLO,MANANTAY,,sin_vinculo
277,275107,DRE UCAYALI,CORONEL PORTILLO,MANANTAY,,sin_vinculo
278,530535,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
279,733535,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
283,272773,DRE UCAYALI,CORONEL PORTILLO,MANANTAY,,sin_vinculo
284,273359,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
285,657122,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
286,666677,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
287,1568799,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
288,733600,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
289,807156,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
290,1335744,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
294,1343813,DRE CUSCO,QUISPICANCHI,CCARHUAYO,,sin_vinculo
295,830885,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
302,1374834,DRE HUANCAVELICA,ACOBAMBA,CAJA,,sin_vinculo
316,1433515,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
319,1457605,DRE CUSCO,QUISPICANCHI,OCONGATE,,sin_vinculo
320,1772672,DRE CUSCO,QUISPICANCHI,OCONGATE,,sin_vinculo
324,1495167,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,,sin_vinculo
325,1516269,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
326,1516277,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
327,1402866,DRE HUANCAVELICA,ACOBAMBA,MARCAS,,sin_vinculo
328,428920,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,,sin_vinculo
344,1625904,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
345,1625938,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
346,1625987,DRE UCAYALI,CORONEL PORTILLO,MANANTAY,,sin_vinculo
347,1626001,DRE UCAYALI,CORONEL PORTILLO,MASISEA,,sin_vinculo
348,1741123,DRE CUSCO,QUISPICANCHI,OCONGATE,,sin_vinculo
349,1636455,DRE CUSCO,QUISPICANCHI,OCONGATE,,sin_vinculo
353,1378355,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
354,1273960,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
355,1263219,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
356,1682285,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
357,1527365,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
358,1527340,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
359,1527381,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
360,1527373,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
361,1262856,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
362,1457365,DRE CUSCO,QUISPICANCHI,CCARHUAYO,,sin_vinculo
363,1681212,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
364,1236397,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
365,1236967,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
366,1527399,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
367,1715416,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
368,1715424,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
369,1715440,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
371,1745710,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
372,1745728,DRE PIURA,PIURA,TAMBO GRANDE,,sin_vinculo
375,697714,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,,sin_vinculo
376,421222,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,,sin_vinculo
377,1785138,DRE HUANCAVELICA,ACOBAMBA,MARCAS,,sin_vinculo
378,1151695,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
379,1791433,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
380,1791466,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,,sin_vinculo
381,1678879,DRE ANCASH,HUAYLAS,PAMPAROMAS,,sin_vinculo
382,1781897,DRE UCAYALI,CORONEL PORTILLO,CALLERIA,,sin_vinculo
383,2533906,DRE CAJAMARCA,CELENDIN,CHUMUCH,,sin_vinculo
384,3025715,DRE CALLAO,CALLAO,VENTANILLA,,sin_vinculo
385,0428714,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,,sin_vinculo
386,0304642,DRE UCAYALI,CORONEL PORTILLO,IPARIA,,sin_vinculo
387,0488403,DRE ANCASH,SANTA,MORO,,sin_vinculo
388,0481093,DRE MOQUEGUA,MARISCAL NIETO,SAMEGUA,,sin_vinculo
389,1768829,DRE CAJAMARCA,JAEN,CHONTALI,,sin_vinculo
390,0600692,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,,sin_vinculo
