CODIGO_MODULAR,Y3_PR_IMPUTADO,METODO_IMPUTACION
0428714,0.0577200577200577,79-2
0304642,0.0832142857142857,72-2
0488403,0.0224771873322597,54
0481093,0.0714285714285714,72-1
0600692,0.0577200577200577,79-2
