codigo_modular,Y1_ILA,Y2_TD,X1_NVC,X2_TR,X4_IDD,X10_IE,X12_TOE,X13_TMATRC,X15_MEIB,X11_RED,X13_TMATRC_CATEGORIA
350447,,,,,,,,,,23.473684210526315,
1785484,,,,,,,,,,44.2,
1785476,,,,,,,,,,40.7,
916023,,,,,,,,19.6,,18.3,ESTABLE
260315,,,,,,,,0.6666666666666666,,23.875,ESTABLE
1715820,,,,,,,,2.0,,15.0,ESTABLE
571745,,,,,,,,-1.6666666666666667,,10.0,ESTABLE
350496,,,,,,,,,,21.157894736842106,
571356,,,,,,,,-12.75,,22.5,ESTABLE
613943,,,,,,,,-2.5,,21.75,ESTABLE
464610,,,,,,,,0.6,,8.0,ESTABLE
464628,,,,,,,,0.0,,7.5,ESTABLE
355271,,,,,,,,-2.4,,14.0,DECRECIMIENTO_SIGNIFICATIVO
552661,,,,,,,,1.0,,13.5,ESTABLE
561084,,,,,,,,1.8,,22.333333333333332,ESTABLE
355289,,,,,,,,-3.0,,4.5,ESTABLE
673780,,,,,,,,-0.6666666666666666,,10.0,CAMBIO_LEVE_SIGNIFICATIVO
840595,,,,,,,,0.3333333333333333,,21.5,ESTABLE
840504,,,,,,,,-0.5,,9.0,ESTABLE
626424,,,,,,,,-1.25,,7.0,CAMBIO_LEVE_SIGNIFICATIVO
595082,,,,,,,,1.8,,31.0,ESTABLE
595108,,,,,,,,1.0,,16.0,ESTABLE
715011,,,,,,,,9.0,,17.25,ESTABLE
271379,,,,,,,,-1.75,,13.2,ESTABLE
271551,,,,,,,,1.0,,13.0,ESTABLE
275107,,,,,,,,-1.8,,13.666666666666666,ESTABLE
530535,,,,,,,,0.0,,5.0,ESTABLE
733535,,,,,,,,11.5,,20.4,ESTABLE
272773,,,,,,,,0.0,,21.428571428571427,ESTABLE
273359,,,,,,,,-0.6666666666666666,,8.0,ESTABLE
657122,,,,,,,,2.5,,11.666666666666666,ESTABLE
666677,,,,,,,,0.0,,12.0,ESTABLE
1568799,,,,,,,,0.4,,10.5,ESTABLE
733600,,,,,,,,8.5,,17.25,CRECIMIENTO_SIGNIFICATIVO
807156,,,,,,,,-1.5,,6.5,ESTABLE
1335744,,,,,,,,,,9.714285714285714,
1343813,,,,,,,,-1.2,,10.714285714285714,ESTABLE
830885,,,,,,,,2.3333333333333335,,9.0,CRECIMIENTO_SIGNIFICATIVO
1374834,,,,,,,,0.5,,5.5,ESTABLE
1433515,,,,,,,,-1.5,,7.0,CAMBIO_LEVE_SIGNIFICATIVO
1457605,,,,,,,,-5.0,,14.75,DECRECIMIENTO_SIGNIFICATIVO
1772672,,,,,,,,11.6,,10.142857142857142,CRECIMIENTO_SIGNIFICATIVO
1495167,,,,,,,,-0.3333333333333333,,8.0,ESTABLE
1516269,,,,,,,,-6.75,,11.666666666666666,DECRECIMIENTO_SIGNIFICATIVO
1516277,,,,,,,,4.5,,20.0,ESTABLE
1402866,,,,,,,,0.0,,8.0,ESTABLE
428920,,,,,,,,1.3333333333333333,,14.333333333333334,CAMBIO_LEVE_SIGNIFICATIVO
1625904,,,,,,,,1.6666666666666667,,22.5,ESTABLE
1625938,,,,,,,,-1.0,,8.0,ESTABLE
1625987,,,,,,,,0.0,,13.0,ESTABLE
1626001,,,,,,,,0.5,,9.0,ESTABLE
1741123,,,,,,,,0.5,,18.333333333333332,ESTABLE
1636455,,,,,,,,0.0,,12.0,ESTABLE
1378355,,,,,,,,1.0,,3.5,ESTABLE
1273960,,,,,,,,-1.2,,7.5,ESTABLE
1263219,,,,,,,,-1.5,,11.0,ESTABLE
1682285,,,,,,,,-0.2,,9.0,ESTABLE
1527365,,,,,,,,0.6666666666666666,,9.0,ESTABLE
1527340,,,,,,,,0.3333333333333333,,6.0,ESTABLE
1527381,,,,,,,,-1.25,,6.0,CAMBIO_LEVE_SIGNIFICATIVO
1527373,,,,,,,,1.0,,8.0,ESTABLE
1262856,,,,,,,,0.0,,9.0,ESTABLE
1457365,,,,,,,,4.5,,9.5,ESTABLE
1681212,,,,,,,,0.25,,16.333333333333332,ESTABLE
1236397,,,,,,,,14.0,,14.421052631578947,CRECIMIENTO_SIGNIFICATIVO
1236967,,,,,,,,,,30.333333333333332,
