codigo_modular,nombre_institucion,numero_fya,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X10_IE,X11_RED,X12_TOE,X13_TMATRC,X15_MEIB,X13_TMATRC_CATEGORIA
1626001,566,72,,-0.00495000000000001,,,,,,9.0,,0.5,,ESTABLE
1633189,86769 ABRAHAM VALDELOMAR,54,,0.10860000000000003,,,,,,5.125,,-2.8,,ESTABLE
1636455,501455 CRISTO REY TTIKARIY,44,,0.22209999999999994,,,,,,12.0,,0.0,,ESTABLE
1678879,693,54,,0.10714999999999997,,,,,,14.0,,-1.3333333333333333,,ESTABLE
1681212,1341,48,,0.16459999999999997,,,,,,16.333333333333332,,0.25,,ESTABLE
1682285,601571,47,,0.10234999999999993,,,,,,9.0,,-0.2,,ESTABLE
1715416,1416,48,,0.16459999999999997,,,,,,12.0,,1.2,,ESTABLE
1715424,1417,48,,0.16459999999999997,,,,,,7.0,,-3.0,,ESTABLE
1715440,1419,48,,0.16459999999999997,,,,,,16.666666666666668,,2.3333333333333335,,ESTABLE
1715820,14894,48,,0.13949999999999996,,,,,,15.0,,2.0,,ESTABLE
1741123,501455 CRISTO REY TTIKARIY,44,,0.19125,,,,,,18.333333333333332,,0.5,,ESTABLE
1745710,1558,48,,0.16459999999999997,,,,,,16.0,,-1.3333333333333333,,ESTABLE
1745728,1559,48,,0.16459999999999997,,,,,,24.0,,1.0,,ESTABLE
1768829,1574,47,,0.17904999999999993,,,,,,7.0,,-0.5,,ESTABLE
1772672,501432 PAPA FRANCISCO I,44,,0.11009999999999998,,,,,,10.142857142857142,,11.6,,CRECIMIENTO_SIGNIFICATIVO
1781897,64346,72,,0.5,,,,,,6.25,,1.0,,ESTABLE
1785138,36831,79,,0.03205000000000002,,,,,,15.0,,1.6666666666666665,,ESTABLE
1785476,FE Y ALEGRIA 48,48,,0.16459999999999997,,,,,,40.7,,,,
1785484,FE Y ALEGRIA 48,48,,0.16459999999999997,,,,,,44.2,,,,
1791433,EL MILAGRO,47,,0.10234999999999993,,,,,,44.666666666666664,,,,
1791466,EL MILAGRO,47,,0.10234999999999993,,,,,,37.25,,,,
204933,50715,44,,0.33335000000000004,,,,,,8.0,,-2.0,,CAMBIO_LEVE_SIGNIFICATIVO
204974,50719 VIRGEN DEL CARMEN,44,,0.40865000000000007,,,,,,19.933333333333334,,2.0,,ESTABLE
205401,50765,44,,0.39514999999999995,,,,,,9.0,,-2.3333333333333335,,DECRECIMIENTO_SIGNIFICATIVO
205716,50796,44,,0.28354999999999997,,,,,,15.5,,-0.8,,ESTABLE
2533906,YANACANCHA,47,,0.08084999999999998,,,,,,,,,,
260307,14141,48,,-0.05825000000000002,,,,,,12.0,,-1.4,,ESTABLE
260315,14145 SANTA JULIA BILLIART,48,,0.19199999999999992,,,,,,23.875,,0.6666666666666666,,ESTABLE
271379,64028,72,,0.07510000000000006,,,,,,13.2,,-1.75,,ESTABLE
271551,64048,72,,-0.15869999999999995,,,,,,13.0,,1.0,,ESTABLE
272773,64508-B,72,,-0.2133999999999999,,,,,,21.428571428571427,,0.0,,ESTABLE
273359,64545-B,72,,-0.1982499999999999,,,,,,8.0,,-0.6666666666666666,,ESTABLE
275107,64115,72,,0.14695000000000003,,,,,,13.666666666666666,,-1.8,,ESTABLE
3025715,5154 SANTIAGO ANTUNEZ DE MAYOLO,44,,0.22209999999999994,,,,,,12.333333333333334,,28.0,,CRECIMIENTO_SIGNIFICATIVO
350447,14144 SANTA ROSA,48,,0.16554999999999997,,,,,,23.473684210526315,,,,
350496,14924 DANIEL ALCIDES CARRION,48,,0.20875,,,,,,21.157894736842106,,,,
355271,15304,48,,0.1825,,,,,,14.0,,-2.4,,DECRECIMIENTO_SIGNIFICATIVO
355289,15383,48,,0.16459999999999997,,,,,,4.5,,-3.0,,ESTABLE
3891735,MARIA AUXILIADORA,48,,0.16459999999999997,,,,,,9.0,,-0.4,,ESTABLE
3916573,VIRGEN DE LAS MERCEDES,48,,0.16459999999999997,,,,,,9.0,,0.0,,ESTABLE
398313,60133,47,,0.10234999999999993,,,,,,20.272727272727273,,-7.6,,DECRECIMIENTO_SIGNIFICATIVO
398347,60136,47,,-0.07330000000000003,,,,,,7.0,,1.75,,ESTABLE
398370,60181,47,,0.10234999999999993,,,,,,8.0,,1.0,,ESTABLE
409672,50492 CORAZON DE JESUS,44,,0.21924999999999992,,,,,,19.333333333333332,,-3.5,,ESTABLE
409706,50495,44,,0.0796,,,,,,15.666666666666666,,-2.0,,CAMBIO_LEVE_SIGNIFICATIVO
409797,50504,44,,0.14295000000000002,,,,,,14.666666666666666,,-7.666666666666667,,DECRECIMIENTO_SIGNIFICATIVO
410100,50535,44,,0.2602,,,,,,13.428571428571429,,-4.0,,ESTABLE
410118,50536,44,,0.24589999999999998,,,,,,13.0,,-3.0,,DECRECIMIENTO_SIGNIFICATIVO
410225,50547,44,,0.017749999999999932,,,,,,13.666666666666666,,-6.5,,DECRECIMIENTO_SIGNIFICATIVO
410233,50550,44,,0.4166499999999999,,,,,,9.333333333333334,,0.5,,ESTABLE
410258,50552 TUPAC AMARU II,44,,0.1872999999999999,,,,,,11.571428571428571,,-4.666666666666667,,ESTABLE
410266,50553,44,,0.04684999999999995,,,,,,6.0,,-5.0,,DECRECIMIENTO_SIGNIFICATIVO
410316,50558,44,,0.27315,,,,,,10.0,,-8.0,,ESTABLE
414987,86548 JOSE MARIA VELAZ,54,,0.10714999999999997,,,,,,12.2,,-5.5,,ESTABLE
415059,86731,54,,0.10714999999999997,,,,,,7.0,,0.3333333333333333,,ESTABLE
415117,86769 ABRAHAM VALDELOMAR,54,,0.10714999999999997,,,,,,12.0,,-2.3333333333333335,,ESTABLE
415141,86783,54,,0.10714999999999997,,,,,,15.25,,-2.0,,ESTABLE
420380,36161 SAN VICENTE DE PAUL,79,,0.021399999999999975,,,,,,11.0,,-2.0,,ESTABLE
420406,36163 JAVIER HERAUD PEREZ,79,,0.03205000000000002,,,,,,10.0,,0.6,,ESTABLE
420430,36166 HEROES 29 DE AGOSTO,79,,0.02984999999999993,,,,,,12.75,,-1.0,,ESTABLE
420448,36167,79,,0.03205000000000002,,,,,,8.0,,-2.25,,ESTABLE
420562,36201 NUESTRA SEÑORA DEL ROSARIO,79,,0.03205000000000002,,,,,,8.0,,-0.2,,ESTABLE
421222,37003,79,,0.03205000000000002,,,,,,35.0,,,,
421594,130,79,,0.03205000000000002,,,,,,11.0,,1.8,,ESTABLE
428714,36153 SAYRI TUPAC,79,,0.03205000000000002,,,,,,12.5,,,,
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,79,,0.11075,,,,,,12.333333333333334,,-0.3333333333333333,,ESTABLE
428920,36207,79,,0.0806,,,,,,14.333333333333334,,1.3333333333333333,,CAMBIO_LEVE_SIGNIFICATIVO
464610,15219,48,,0.33065,,,,,,8.0,,0.6,,ESTABLE
464628,15220,48,,0.16459999999999997,,,,,,7.5,,0.0,,ESTABLE
