CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,Y1_ILA_ZSCORE,Y2_TD_ZSCORE,Y3_PR_ZSCORE,X1_NVC_ZSCORE,X4_IDD_ZSCORE,X5_ED_ZSCORE,X6_CDD_ZSCORE,X10_IE_ZSCORE,X11_RED_ZSCORE,FECHA_CALCULO
410225,50547,44,-13.7299,-71.3744,4058.0,1.4444,0.02519696216906797,,,,,,,,13.666666666666666,,,,,,,,,,,13.666666666666666,2025-08-10 03:01:01
410233,50550,44,-13.6302,-71.27,3950.0,1.8333,0.8332999999999999,,,,,,,,9.333333333333334,,,,,,,,,,,9.333333333333334,2025-08-10 03:01:01
410258,50552 TUPAC AMARU II,44,-13.71458,-71.46204,3990.0,1.6176,0.3013676588897826,,,,,,,,11.571428571428571,,,,,,,,,,,11.571428571428571,2025-08-10 03:01:01
410266,50553,44,-13.67753,-71.2426,4150.0,1.5,0.06662874208917008,,,,,,,,6.0,,,,,,,,,,,6.0,2025-08-10 03:01:01
204974,50719 VIRGEN DEL CARMEN,44,-13.66704,-71.31985,3771.0,2.0556,0.6600177662924979,,,,,,,,19.933333333333334,,,,,,,,,,,19.933333333333334,2025-08-10 03:01:01
205401,50765,44,-13.70297,-71.36623,3955.0,2.0,0.6533024716871951,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
487140,50854,44,-13.68158,-71.39118,3924.0,2.0,0.5108022359873091,,,,,,,,8.5,,,,,,,,,,,8.5,2025-08-10 03:01:01
592543,50977,44,-13.6729,-71.3415,3770.0,1.6429,0.0873651466013635,,,,,,,,17.0,,,,,,,,,,,17.0,2025-08-10 03:01:01
428714,36153 SAYRI TUPAC,79,-12.8025,-74.5375,3405.0,1.5003,0.04463166689876065,,,,,,,,12.5,,,,,,,,,,,12.5,2025-08-10 03:01:01
600692,NUESTRA SEÑORA DE LA CANDELARIA,79,-12.83916,-74.57049,3440.0,1.5003,0.04463166689876065,,,,,,,,7.571428571428571,,,,,,,,,,,7.571428571428571,2025-08-10 03:01:01
421594,130,79,-12.9167,-74.4666,3360.0,1.5003,0.04463166689876065,,,,,,,,11.0,,,,,,,,,,,11.0,2025-08-10 03:01:01
633040,156,79,-12.8768,-74.487,3478.0,1.5003,0.04463166689876065,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
420380,36161 SAN VICENTE DE PAUL,79,-12.9179,-74.4644,3375.0,1.5003,0.029365351629502538,,,,,,,,11.0,,,,,,,,,,,11.0,2025-08-10 03:01:01
420406,36163 JAVIER HERAUD PEREZ,79,-12.90297,-74.4938,3127.0,1.5003,0.04463166689876065,,,,,,,,10.0,,,,,,,,,,,10.0,2025-08-10 03:01:01
1060276,CORAS,79,-12.8736,-74.4846,3472.0,1.3791,-0.03975769391449654,,,,,,,,6.333333333333333,,,,,,,,,,,6.333333333333333,2025-08-10 03:01:01
420430,36166 HEROES 29 DE AGOSTO,79,-12.8897,-74.3996,3386.0,1.5003,0.04144106622240723,,,,,,,,12.75,,,,,,,,,,,12.75,2025-08-10 03:01:01
420448,36167,79,-12.84032,-74.41306,3353.0,1.5003,0.04463166689876065,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
420562,36201 NUESTRA SEÑORA DEL ROSARIO,79,-12.9072,-74.4334,3243.0,1.5003,0.04463166689876065,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
740365,RAMON CASTILLA MARQUEZADO,79,-12.8876,-74.398,3370.0,1.5003,-0.003056681507076841,,,,,,,,7.333333333333333,,,,,,,,,,,7.333333333333333,2025-08-10 03:01:01
686741,177,79,-12.8508,-74.5382,3354.0,1.5003,0.04463166689876065,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
