CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,Y1_ILA_ZSCORE,Y2_TD_ZSCORE,Y3_PR_ZSCORE,X1_NVC_ZSCORE,X4_IDD_ZSCORE,X5_ED_ZSCORE,X6_CDD_ZSCORE,X10_IE_ZSCORE,X11_RED_ZSCORE,FECHA_CALCULO,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P
3916573,VIRGEN DE LAS MERCEDES,48,-4.880568,-80.14513,190.0,1.6679,0.16460000000000005,,,2,,0.2499999999999999,,,9.0,1,0.0,,,,,,,,,9.0,2025-08-10 03:01:01,0.0,ESTABLE,1.0
838455,HUARAC HUARAN,54,-9.234663,-77.96693,3591.0,1.3411,0.10715000000000004,,,2,,0.2499999999999999,,,12.0,1,0.0,,,,,,,,,12.0,2025-08-10 03:01:01,0.0,ESTABLE,1.0
3891735,MARIA AUXILIADORA,48,-4.84999,-80.18052,168.0,1.6679,0.16460000000000005,,,2,,0.2499999999999999,,,9.0,1,0.0,,,,,,,,,9.0,2025-08-10 03:01:01,-0.4,ESTABLE,0.7071142312899614
1315084,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.1856356685416516,0.10415000000000012,,,2,,0.5333333333333333,,,11.153846153846152,4,1.0,,,,,,,,,11.153846153846153,2025-08-10 03:01:01,1.0,ESTABLE,0.1328549557310538
414987,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.3411,0.10715000000000004,,,2,,0.8,,,12.2,3,1.0,,,,,,,,,12.2,2025-08-10 03:01:01,-5.5,ESTABLE,0.0602891739906021
1376268,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.3411,0.10715000000000004,,,2,,0.5,,,21.5,3,1.0,,,,,,,,,21.5,2025-08-10 03:01:01,0.0,ESTABLE,1.0
415059,86731,54,-9.190619,-77.99803,2900.0,1.3411,0.10715000000000004,,,2,,1.0,,,7.0,1,1.0,,,,,,,,,7.0,2025-08-10 03:01:01,0.3333333333333333,ESTABLE,0.8509806870320558
1633189,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.1333333333333333,0.10860000000000013,,,2,,0.5,,,5.125,4,1.0,,,,,,,,,5.125,2025-08-10 03:01:01,-2.8,ESTABLE,0.2596563563704501
415117,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.3411,0.10715000000000004,,,2,,0.3333333333333333,,,12.0,3,1.0,,,,,,,,,12.0,2025-08-10 03:01:01,-2.333333333333333,ESTABLE,0.1328549557310538
1608132,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.3411,0.10715000000000004,,,2,,0.0,,,7.5,3,1.0,,,,,,,,,7.5,2025-08-10 03:01:01,0.3333333333333333,ESTABLE,1.0
415141,86783,54,-9.191011,-78.0417,1597.0,1.3411,0.10715000000000004,,,2,,0.0,,,15.25,3,1.0,,,,,,,,,15.25,2025-08-10 03:01:01,-2.0,ESTABLE,0.1884860380673747
1376300,86783,54,-9.191011,-78.0417,1597.0,1.3411,0.10715000000000004,,,2,,0.6,,,11.555555555555555,4,1.0,,,,,,,,,11.555555555555555,2025-08-10 03:01:01,6.6,CRECIMIENTO_SIGNIFICATIVO,0.0387775043923066
520221,86809,54,-9.23742,-77.9687,3625.0,1.4172913543228385,-0.005499999999999977,,,2,,1.0,,,8.0,3,1.0,,,,,,,,,8.0,2025-08-10 03:01:01,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.008534920414227
818682,87009-01,54,-9.199093,-78.02747,1820.0,1.3411,0.10715000000000004,,,2,,0.6666666666666666,,,18.25,3,1.0,,,,,,,,,18.25,2025-08-10 03:01:01,2.2,ESTABLE,0.1328549557310538
1551944,87009-01,54,-9.199093,-78.02747,1820.0,1.3411,0.10715000000000004,,,2,,0.0,,,14.0,3,1.0,,,,,,,,,14.0,2025-08-10 03:01:01,2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.0241705471745452
1376318,88247 SAN ENRIQUE,54,-9.201528,-77.99841,2345.0,1.4193548387096773,0.14715000000000003,,,2,,0.0,,,14.0,1,1.0,,,,,,,,,14.0,2025-08-10 03:01:01,-1.6666666666666667,ESTABLE,0.1884860380673747
541201,88247 SAN ENRIQUE,54,-9.201528,-77.99841,2345.0,1.3411,0.10715000000000004,,,2,,1.0,,,14.5,3,1.0,,,,,,,,,14.5,2025-08-10 03:01:01,-1.8,ESTABLE,0.1884860380673747
686386,88327,54,-9.205055,-77.97856,2777.0,1.2242071793155385,0.18129999999999988,,,2,,1.0,,,13.5,3,1.0,,,,,,,,,13.5,2025-08-10 03:01:01,0.0,ESTABLE,0.4523703606773608
1306182,852,47,-4.203145,-73.47933,98.0,1.418,0.10235000000000002,,,2,,0.2499999999999999,,,5.0,1,0.0,,,,,,,,,5.0,2025-08-10 03:01:01,-0.5,ESTABLE,0.8509806870320558
1200906,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,-13.6765,-71.6756,3123.0,1.7418,0.2220999999999999,,,1,,0.4090909090909091,,,13.4,4,2.0,,,,,,,,,13.4,2025-08-10 03:01:01,0.0,ESTABLE,1.0
409797,50504,44,-13.64324,-71.54927,3813.0,1.4558823529411766,0.14294999999999985,,,2,,0.3333333333333333,,,14.666666666666666,4,1.0,,,,,,,,,14.666666666666666,2025-08-10 03:01:01,-7.666666666666667,DECRECIMIENTO_SIGNIFICATIVO,0.0145950349193166
410118,50536,44,-13.6226,-71.6391,3836.0,1.25,0.24589999999999976,,,2,,0.3333333333333333,,,13.0,3,1.0,,,,,,,,,13.0,2025-08-10 03:01:01,-3.0,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227
