id,codigo_modular,codigo_local,numero_procedimiento,nombre_institucion,region,provincia,distrito,departamento,direccion,localidad,centro_poblado,area_censo,latitud,longitud,altitud,nivel_educativo,modalidad,modalidad_especifica,gestion,gestion_departamental,tipo_sexo,turno,codigo_carrera,total_alumnos,alumnos_hombres,alumnos_mujeres,total_docentes,total_secciones,directivos_hombres,directivos_mujeres,directivos_total,docentes_hombres,docentes_mujeres,docentes_total,es_rural,es_eib,director,telefono,email,numero_fya,unidad_ejecutora,multiplicidad1,multiplicidad2,id_red_fya,nombre_red_fya_matched,entra_estudio_clustering,ILA_2022,ILA_2023,ILA_2024,X11_RED,matric_siagie_2019,matric_siagie_2020,matric_siagie_2021,matric_siagie_2022,matric_siagie_2023,matric_siagie_2024,total_docentes_ajustado,X11_RED_ajustado,metodo_ajuste,TEND_MATRICULA,TEND_MATRICULA_CATEGORIA,TEND_MATRICULA_R2,TEND_CAMBIO_PORCENTUAL,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,Y3_PR_Comunicacion,Y3_PR_Matematica,Y3_PR_Produccion_Textos
23.0,415141,27561,3AP,86783,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CAJAY,nan,CAJAY,Rural,-9.191011,-78.0417,1597.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,61,24,37,4,6,0.0,0.0,0.0,2.0,2.0,4.0,1,0,FLORES CORREA EDIN OMAR,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,15.25,68.0,65.0,60.0,60.0,58.0,61.0,4.0,15.25,SIN_AJUSTE,-1.4054054054054055,ESTABLE,0.5754415833155992,-10.294117647058822,-2.0,ESTABLE,0.18848603806737496,5.5091133150320415,,,
24.0,1376300,27561,3AS,86783,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CAJAY,nan,CAJAY,Rural,-9.191011,-78.0417,1597.0,Secundaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,104,52,52,9,6,1.0,0.0,1.0,7.0,1.0,8.0,1,1,FLORES CORREA EDIN OMAR,nan,nan,54,UGEL HUAYLAS,2.0,2.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,11.555555555555555,71.0,74.0,99.0,104.0,104.0,104.0,9.0,11.555555555555555,SIN_AJUSTE,7.405405405405406,CRECIMIENTO,0.7451638197139483,46.478873239436616,6.6,CRECIMIENTO_SIGNIFICATIVO,0.03877750439230665,15.534404950855526,,,
25.0,520221,27575,3AP,86809,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,HUARAC HURAN,nan,HUARAC HURAN,Rural,-9.23742,-77.9687,3625.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,16,8,8,2,6,1.0,0.0,1.0,1.0,0.0,1.0,1,0,RODRIGUEZ MILLA HERCILIO EGIDIO,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.2967,1.7407,1.2857,8.0,27.0,23.0,20.0,19.0,17.0,15.0,2.0,8.0,SIN_AJUSTE,-2.283783783783784,ESTABLE,0.9553451966818307,-44.44444444444444,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.008534920414227098,19.50483259703462,0.00034500000000000004,0.0,0.0
26.0,818682,27603,3AP,87009-01,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA PICHIU,BOTIJERIA ANGULO SUR,HUANCHUY,Rural,-9.199093,-78.02747,1820.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,73,34,39,4,6,0.0,0.0,0.0,1.0,3.0,4.0,1,0,ROJAS ROSALES ROCÍO VERÓNICA,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,18.25,61.0,57.0,58.0,60.0,65.0,72.0,4.0,18.25,SIN_AJUSTE,2.391891891891892,ESTABLE,0.5831471967835604,18.0327868852459,2.2,ESTABLE,0.13285495573105388,8.17144807191859,,,
27.0,1551944,27603,1A,87009-01,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA PICHIU,BOTIJERIA ANGULO SUR,HUANCHUY,Rural,-9.199093,-78.02747,1820.0,Inicial - Jardín,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,42,20,22,3,3,0.0,0.0,0.0,0.0,3.0,3.0,1,1,ROJAS ROSALES ROCÍO VERÓNICA,nan,nan,54,UGEL HUAYLAS,2.0,2.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,14.0,28.0,37.0,38.0,40.0,43.0,42.0,3.0,14.0,SIN_AJUSTE,2.4324324324324325,ESTABLE,0.7548928238583409,50.0,2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.024170547174545254,12.981270690305912,,,
28.0,1376318,27641,1A,88247 SAN ENRIQUE,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA CAPAN S/N,nan,CAPAN,Rural,-9.201528,-77.99841,2345.0,Inicial - Jardín,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,14,7,7,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1,1,JAMANCA LOPEZ MARIA JUANA,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.1268,1.4167,1.4211,14.0,15.0,16.0,13.0,10.0,5.0,13.0,1.0,14.0,SIN_AJUSTE,-0.7027027027027027,ESTABLE,0.34472208057113723,-13.333333333333334,-1.6666666666666667,ESTABLE,0.18848603806737496,30.42903097250923,0.0,0.000968,0.0
29.0,541201,27641,3AP,88247 SAN ENRIQUE,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARRETERA CAPAN S/N,nan,CAPAN,Rural,-9.201528,-77.99841,2345.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,29,9,20,2,5,0.0,1.0,1.0,0.0,1.0,1.0,1,0,JAMANCA LOPEZ MARIA JUANA,nan,nan,54,UGEL HUAYLAS,2.0,2.0,50,Red Fe y Alegría 54,Sí,1.1268,1.5234,1.3411,14.5,37.0,38.0,39.0,33.0,33.0,28.0,2.0,14.5,SIN_AJUSTE,-2.027027027027027,ESTABLE,0.7415952537903757,-24.324324324324326,-1.8,ESTABLE,0.18848603806737496,10.878565864408424,,,
30.0,686386,27716,3AP,88327,DRE ANCASH,HUAYLAS,PAMPAROMAS,ANCASH,CARAP,CARAP,CARAP,Rural,-9.205055,-77.97856,2777.0,Primaria,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,Polidocente multigrado,27,8,19,2,6,1.0,0.0,1.0,1.0,0.0,1.0,1,0,CALVO FERNANDEZ YONY JUAN,nan,nan,54,UGEL HUAYLAS,1.0,1.0,50,Red Fe y Alegría 54,Sí,1.1263,1.5234,1.4889,13.5,32.0,27.0,27.0,29.0,27.0,27.0,2.0,13.5,SIN_AJUSTE,-0.6351351351351352,ESTABLE,0.3109515765765765,-15.625,0.0,ESTABLE,0.4523703606773608,6.615585732247899,0.0,0.0,0.0
55.0,1306182,136664,1A,852,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,LORETO,CARRETERA IQUITOS - NAUTA KM 53,nan,HABANA,Rural,-4.203145,-73.47933,98.0,Inicial - Jardín,Escolarizada,RER,Pública de gestión directa,Sector Educación,Mixto,Mañana,No aplica,5,3,2,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1,0,SALDAÑA TORRES LISY DEL CARMEN,nan,nan,47,UGEL MAYNAS,1.0,1.0,42,Red Fe y Alegría 47,Sí,1.2133,1.4555,1.418,5.0,5.0,9.0,10.0,8.0,5.0,7.0,1.0,5.0,SIN_AJUSTE,0.1486486486486487,ESTABLE,0.02209642074506941,40.0,-0.5,ESTABLE,0.8509806870320558,25.712973861329004,,,
69.0,1200906,147851,3AS,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,CUSCO,CALLE PROLONGACION CAHUIDE S/N,nan,ANDAHUAYLILLAS,Urbana,-13.6765,-71.6756,3123.0,Secundaria,Escolarizada,EBR,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,No aplica,268,126,142,20,10,2.0,0.0,2.0,5.0,13.0,18.0,0,1,ANAYA QUISPE KARINA MILAGROS,220210,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.2976,1.5668,1.7418,13.4,270.0,276.0,291.0,293.0,276.0,247.0,20.0,13.4,SIN_AJUSTE,-3.8783783783783785,ESTABLE,0.16024972568306858,-8.518518518518519,0.0,ESTABLE,1.0,5.523724976969617,,,
