codigo_local,nombre_institucion,region,provincia,distrito,codigos_modulares,niveles_educativos,modalidades,area_censo,es_rural,es_fya,total_alumnos,total_docentes,latitud,longitud,numero_fya,unidad_ejecutora
169541,50553,DRE CUSCO,QUISPICANCHI,OCONGATE,410266,Primaria,RER,Rural,1,1,6,1.0,-13.67753,-71.2426,RER FA 44,UGEL QUISPICANCHI
169579,50719 VIRGEN DEL CARMEN,DRE CUSCO,QUISPICANCHI,OCONGATE,204974,Primaria,RER,Rural,1,1,299,15.0,-13.66704,-71.31985,RER FA 44,UGEL QUISPICANCHI
169584,50765,DRE CUSCO,QUISPICANCHI,OCONGATE,205401,Primaria,RER,Rural,1,1,18,2.0,-13.70297,-71.36623,RER FA 44,UGEL QUISPICANCHI
169602,50854,DRE CUSCO,QUISPICANCHI,OCONGATE,487140,Primaria,RER,Rural,1,1,17,2.0,-13.68158,-71.39118,RER FA 44,UGEL QUISPICANCHI
169616,50977,DRE CUSCO,QUISPICANCHI,OCONGATE,592543,Primaria,RER,Rural,1,1,51,3.0,-13.6729,-71.3415,RER FA 44,UGEL QUISPICANCHI
175716,36153 SAYRI TUPAC,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,428714,Primaria,RER,Rural,1,1,25,2.0,-12.8025,-74.5375,RER FA 79,UGEL ACOBAMBA
175882,NUESTRA SEÑORA DE LA CANDELARIA,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,600692,Secundaria,RER,Urbana,0,1,265,35.0,-12.83916,-74.57049,RER FA 79,UGEL ACOBAMBA
176216,130,DRE HUANCAVELICA,ACOBAMBA,CAJA,421594,Inicial - Jardín,RER,Rural,1,1,22,2.0,-12.9167,-74.4666,RER FA 79,UGEL ACOBAMBA
176221,156,DRE HUANCAVELICA,ACOBAMBA,CAJA,633040,Inicial - Jardín,RER,Rural,1,1,18,2.0,-12.8768,-74.487,RER FA 79,UGEL ACOBAMBA
176235,36161 SAN VICENTE DE PAUL,DRE HUANCAVELICA,ACOBAMBA,CAJA,420380,Primaria,RER,Rural,1,1,33,3.0,-12.9179,-74.4644,RER FA 79,UGEL ACOBAMBA
176240,36163 JAVIER HERAUD PEREZ,DRE HUANCAVELICA,ACOBAMBA,CAJA,420406,Primaria,RER,Rural,1,1,30,3.0,-12.90297,-74.4938,RER FA 79,UGEL ACOBAMBA
176320,CORAS,DRE HUANCAVELICA,ACOBAMBA,CAJA,1060276,Secundaria,RER,Rural,1,1,114,18.0,-12.8736,-74.4846,RER FA 79,UGEL ACOBAMBA
