CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,X13_TMATRC,X14_NIVEL_EDUCATIVO,X16_MODALIDAD,X17_GESTION,X18_TURNO,X19_ORGANIZACION_PEDAGOGICA,X20_DIRECTIVOS_TOTAL,X21_MULTIPLICIDAD1,X22_MULTIPLICIDAD2,X24_GPMD,X25_POBLACION_DISTRITO,CLUSTER_KMEANS,TIPOLOGIA_KMEANS,SILHOUETTE_SCORE,DISTANCIA_CENTROIDE,Y1_ILA_PREDICHO,RESIDUOS,PRO_SCORE,CATEGORIA_RESILIENCIA,CATEGORIA_RIESGO,REGION_DASHBOARD,CATEGORIA_ALTITUD,CATEGORIA_TAMAÑO
1315084,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.1856356685416516,2.0,2.0,4.0,2,3.330695688311148,0.5333333333333333,2.1578947368421053,0.8,11.153846153846152,4,1,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,2.012543827278421,1.3479346237994838,-0.16229895525783222,-0.942036641421839,Desempeño Esperado,Riesgo Moderado,Costa Centro,Quechua (2000-3500m),Mediana (11-20 est/doc)
414987,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.3411,2.0,2.0,4.0,2,3.330695688311148,0.8,2.1578947368421053,0.3,12.2,3,1,-5.5,4.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,1.3181021890616047,1.3770059507045878,-0.0359059507045878,-0.2084099750061452,Desempeño Esperado,Riesgo Moderado,Costa Centro,Quechua (2000-3500m),Mediana (11-20 est/doc)
1376268,86548 JOSE MARIA VELAZ,54,-9.2117,-77.9645,2956.0,1.3411,2.0,2.0,4.0,2,2.25,0.5,2.1578947368421053,0.3,21.5,3,1,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,8.0,8577.0,7,Cluster 7,0.22408923632028538,2.3165514670900107,1.4232036517456,-0.08210365174559997,-0.4765566618467866,Desempeño Esperado,Riesgo Moderado,Costa Centro,Quechua (2000-3500m),Grande (21-30 est/doc)
415059,86731,54,-9.190619,-77.99803,2900.0,1.3411,2.0,2.0,4.0,2,3.3274719657452723,1.0,2.1578947368421053,0.3,7.0,1,1,0.3333333333333333,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8577.0,4,Emergentes Complejas,0.22408923632028538,2.098576140665312,1.4004647021727679,-0.0593647021727679,-0.3445723021753308,Desempeño Esperado,Riesgo Moderado,Costa Centro,Quechua (2000-3500m),Pequeña (≤10 est/doc)
1633189,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.1333333333333333,2.0,2.0,4.0,2,3.327381068673751,0.5,2.1578947368421053,0.8,5.125,4,1,-2.8,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,2.31182337165172,1.332194755516324,-0.19886142218299074,-1.1542572530059123,Vulnerables,Alto Riesgo,Costa Centro,Quechua (2000-3500m),Pequeña (≤10 est/doc)
415117,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.3411,2.0,2.0,4.0,2,3.327381068673751,0.3333333333333333,2.1578947368421053,0.3,12.0,3,1,-2.3333333333333335,4.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,0.9919799199965742,1.314025176200634,0.027074823799365877,0.15715120309014696,Desempeño Esperado,Riesgo Moderado,Costa Centro,Quechua (2000-3500m),Mediana (11-20 est/doc)
1608132,86769 ABRAHAM VALDELOMAR,54,-9.191896,-77.98308,3443.0,1.3411,2.0,2.0,4.0,2,3.327381068673751,0.0,2.1578947368421053,0.3,7.5,3,1,0.3333333333333333,2.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,1.9652757179668798,1.277686017569254,0.06341398243074603,0.3680756597190734,Desempeño Esperado,Riesgo Moderado,Costa Centro,Quechua (2000-3500m),Pequeña (≤10 est/doc)
415141,86783,54,-9.191011,-78.0417,1597.0,1.3411,2.0,2.0,4.0,2,3.3285130918499624,0.0,2.1578947368421053,0.3,15.25,3,1,-2.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,1.497757143375668,1.3244089698538586,0.016691030146141372,0.09688024150101535,Desempeño Esperado,Riesgo Moderado,Costa Centro,Yunga (500-2000m),Mediana (11-20 est/doc)
1376300,86783,54,-9.191011,-78.0417,1597.0,1.3411,2.0,2.0,4.0,2,3.3285130918499624,0.6,2.1578947368421053,0.3,11.555555555555555,4,1,6.6,5.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,8.0,8577.0,1,Tradicionales Estables,0.22408923632028538,1.7424379685606375,1.3898194553903425,-0.0487194553903425,-0.2827837804310499,Desempeño Esperado,Riesgo Moderado,Costa Centro,Yunga (500-2000m),Mediana (11-20 est/doc)
520221,86809,54,-9.23742,-77.9687,3625.0,1.4172913543228385,0.0,2.0,4.0,2,3.335628044926194,1.0,2.1578947368421053,0.3,8.0,3,1,-2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,8577.0,3,Rurales Resilientes,0.22408923632028538,2.345492610659256,1.381486734525718,0.03580461979712046,0.20782181701343444,Desempeño Esperado,Riesgo Moderado,Costa Centro,Suni (3500-4000m),Pequeña (≤10 est/doc)
