CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,RED_NOMBRE,LATITUD,LONGITUD,ALTITUD_MSNM,REGION,INSTITUCION_TOOLTIP
740365,RAMON CASTILLA MARQUEZADO,79,Red Fe y Alegria 79,-12.8876,-74.398,3370,Ayacucho,RAMON CASTILLA MARQUEZADO - Red 79 (Ayacucho)
686741,177,79,Red Fe y Alegria 79,-12.8508,-74.5382,3354,Ayacucho,177 - Red 79 (Ayacucho)
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,79,Red Fe y Alegria 79,-12.8506,-74.538,3351,Ayacucho,36173 SANTIAGO ANTUNEZ DE MAYOLO - Red 79 (Ayacucho)
687194,36465 MICAELA BASTIDAS PUYUCAHUA,79,Red Fe y Alegria 79,-12.8618,-74.5052,3568,Ayacucho,36465 MICAELA BASTIDAS PUYUCAHUA - Red 79 (Ayacucho)
579987,JORGE CHAVEZ,79,Red Fe y Alegria 79,-12.8506,-74.5385,3354,Ayacucho,JORGE CHAVEZ - Red 79 (Ayacucho)
1320001,601614,47,Red Fe y Alegria 47,-3.906227,-73.4136,104,Selva,601614 - Red 47 (Selva)
721639,404,47,Red Fe y Alegria 47,-3.90885,-73.33874,103,Selva,404 - Red 47 (Selva)
721647,405,47,Red Fe y Alegria 47,-4.230595,-73.48736,96,Selva,405 - Red 47 (Selva)
738203,475,47,Red Fe y Alegria 47,-3.94947,-73.36164,121,Selva,475 - Red 47 (Selva)
1151331,536 MI CASITA DEL SABER,47,Red Fe y Alegria 47,-4.012181,-73.43333,139,Selva,536 MI CASITA DEL SABER - Red 47 (Selva)
1151414,538,47,Red Fe y Alegria 47,-4.092448,-73.45277,99,Selva,538 - Red 47 (Selva)
1152057,604,47,Red Fe y Alegria 47,-4.071599,-73.44553,100,Selva,604 - Red 47 (Selva)
1152255,656,47,Red Fe y Alegria 47,-3.97829,-73.38414,107,Selva,656 - Red 47 (Selva)
1152321,678,47,Red Fe y Alegria 47,-3.939339,-73.37488,130,Selva,678 - Red 47 (Selva)
1261577,60133,47,Red Fe y Alegria 47,-4.231024,-73.48778,96,Selva,60133 - Red 47 (Selva)
398313,60133,47,Red Fe y Alegria 47,-4.231024,-73.48778,96,Selva,60133 - Red 47 (Selva)
398347,60136,47,Red Fe y Alegria 47,-3.91543,-73.34032,99,Selva,60136 - Red 47 (Selva)
398370,60181,47,Red Fe y Alegria 47,-4.099999,-73.40438,99,Selva,60181 - Red 47 (Selva)
738419,601330,47,Red Fe y Alegria 47,-4.020995,-73.42369,114,Selva,601330 - Red 47 (Selva)
738427,601331,47,Red Fe y Alegria 47,-4.021036,-73.43295,124,Selva,601331 - Red 47 (Selva)
1147735,601331,47,Red Fe y Alegria 47,-4.021036,-73.43295,124,Selva,601331 - Red 47 (Selva)
1153527,601391,47,Red Fe y Alegria 47,-4.00334,-73.46991,116,Selva,601391 - Red 47 (Selva)
1153881,601444,47,Red Fe y Alegria 47,-4.154128,-73.47423,103,Selva,601444 - Red 47 (Selva)
1153964,601448,47,Red Fe y Alegria 47,-3.939261,-73.37511,131,Selva,601448 - Red 47 (Selva)
1154129,601496,47,Red Fe y Alegria 47,-4.06489,-73.47512,113,Selva,601496 - Red 47 (Selva)
1563212,601511,47,Red Fe y Alegria 47,-4.123805,-73.4483,106,Selva,601511 - Red 47 (Selva)
1154368,601511,47,Red Fe y Alegria 47,-4.123805,-73.4483,106,Selva,601511 - Red 47 (Selva)
1154400,601514,47,Red Fe y Alegria 47,-3.954216,-73.40653,129,Selva,601514 - Red 47 (Selva)
1154608,601528,47,Red Fe y Alegria 47,-4.042254,-73.4378,111,Selva,601528 - Red 47 (Selva)
1148402,6010102,47,Red Fe y Alegria 47,-3.948718,-73.36192,133,Selva,6010102 - Red 47 (Selva)
651398,6010178,47,Red Fe y Alegria 47,-3.97832,-73.38423,107,Selva,6010178 - Red 47 (Selva)
1210491,6010230 BARBARA D'ACHILLE,47,Red Fe y Alegria 47,-4.071509,-73.44612,106,Selva,6010230 BARBARA D'ACHILLE - Red 47 (Selva)
683466,6010230 BARBARA D'ACHILLE,47,Red Fe y Alegria 47,-4.071509,-73.44612,106,Selva,6010230 BARBARA D'ACHILLE - Red 47 (Selva)
1527233,6010231,47,Red Fe y Alegria 47,-4.091835,-73.4532,97,Selva,6010231 - Red 47 (Selva)
683474,6010231,47,Red Fe y Alegria 47,-4.091835,-73.4532,97,Selva,6010231 - Red 47 (Selva)
682211,EL MILAGRO,47,Red Fe y Alegria 47,-3.93753,-73.37275,136,Selva,EL MILAGRO - Red 47 (Selva)
1261775,601563,47,Red Fe y Alegria 47,-4.203145,-73.47933,98,Selva,601563 - Red 47 (Selva)
571232,58,48,Red Fe y Alegria 48,-4.9417,-80.2393,98,Piura,58 - Red 48 (Piura)
737783,467,48,Red Fe y Alegria 48,-4.8548,-80.2225,140,Piura,467 - Red 48 (Piura)
737791,469,48,Red Fe y Alegria 48,-4.8479,-80.217,136,Piura,469 - Red 48 (Piura)
937813,489 JOSE MARIA VELAZ,48,Red Fe y Alegria 48,-4.9175,-80.2198,103,Piura,489 JOSE MARIA VELAZ - Red 48 (Piura)
938118,731,48,Red Fe y Alegria 48,-4.9632,-80.2756,78,Piura,731 - Red 48 (Piura)
938142,732 VIRGEN DE MONSERRAT,48,Red Fe y Alegria 48,-4.9286,-80.2506,92,Piura,732 VIRGEN DE MONSERRAT - Red 48 (Piura)
