codigo_modular,nombre_institucion,region,provincia,distrito,nivel_educativo,modalidad_especifica,area_censo,es_rural,es_fya,total_alumnos,total_docentes,numero_fya
219808,40174 PAOLA FRASSINETTI,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Primaria,EBR,Urbana,0,1,564,22.0,FA 45
308445,40174 PAOLA FRASSINETTI,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Básica Alternativa-Inicial e Intermedio,EBA,Urbana,0,1,123,2.0,FA 45
617183,40174 PAOLA FRASSINETTI,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Secundaria,EBR,Urbana,0,1,616,34.0,FA 45
896001,40174 PAOLA FRASSINETTI,DRE AREQUIPA,AREQUIPA,PAUCARPATA,Básica Alternativa-Avanzado,EBA,Urbana,0,1,59,6.0,FA 45
1530971,LOS MOROCHUCOS,DRE AYACUCHO,CANGALLO,LOS MOROCHUCOS,Instituto Superior Tecnológico,IEST,Urbana,0,1,74,12.0,FA 60
1197987,FE Y ALEGRIA 50 PADRE CARLOS SCHMIDT SJ,DRE AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Primaria,EBR,Urbana,0,1,454,15.0,FA 50
1598861,FE Y ALEGRIA 50 PADRE CARLOS SCHMIDT SJ,DRE AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Inicial - Jardín,EBR,Urbana,0,1,90,4.0,FA 50
424770,FE Y ALEGRIA 50 PADRE CARLOS SCHMIDT SJ,DRE AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Secundaria,EBR,Urbana,0,1,404,21.0,FA 50
1385095,CEFOP CAJAMARCA,DRE CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,Instituto Superior Tecnológico,IEST,Urbana,0,1,218,26.0,FA 57BA
1385103,CEFOP CAJAMARCA,DRE CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,Técnico Productiva,CETPRO,Urbana,0,1,71,5.0,FA 57BB
1366632,FE Y ALEGRIA 69,DRE CAJAMARCA,CUTERVO,CUTERVO,Secundaria,EBR,Urbana,0,1,434,31.0,FA 69
1795038,FE Y ALEGRIA 69,DRE CAJAMARCA,CUTERVO,CUTERVO,Básica Alternativa-Inicial e Intermedio,EBA,Urbana,0,1,208,12.0,FA 69
1795046,FE Y ALEGRIA 69,DRE CAJAMARCA,CUTERVO,CUTERVO,Básica Alternativa-Avanzado,EBA,Urbana,0,1,20,1.0,FA 69
347161,FE Y ALEGRIA 69,DRE CAJAMARCA,CUTERVO,CUTERVO,Primaria,EBR,Urbana,0,1,214,11.0,FA 69
691311,FE Y ALEGRIA 69,DRE CAJAMARCA,CUTERVO,CUTERVO,Inicial - Jardín,EBR,Urbana,0,1,122,7.0,FA 69
1411255,SOCOTA,DRE CAJAMARCA,CUTERVO,SOCOTA,Técnico Productiva,CETPRO,Urbana,0,1,73,5.0,FA 69
1133545,FE Y ALEGRIA 83 ALCIDES VASQUEZ,DRE CAJAMARCA,HUALGAYOC,BAMBAMARCA,Básica Alternativa-Inicial e Intermedio,EBA,Urbana,0,1,301,23.0,FA 83
1368844,FE Y ALEGRIA 83 ALCIDES VASQUEZ,DRE CAJAMARCA,HUALGAYOC,BAMBAMARCA,Básica Alternativa-Avanzado,EBA,Urbana,0,1,215,9.0,FA 83
1221498,FE Y ALEGRIA 22 SAN LUIS GONZAGA,DRE CAJAMARCA,JAEN,JAEN,Inicial - Jardín,EBR,Urbana,0,1,249,11.0,FA 22
263053,FE Y ALEGRIA 22 SAN LUIS GONZAGA,DRE CAJAMARCA,JAEN,JAEN,Secundaria,EBR,Urbana,0,1,475,34.0,FA 22
513465,FE Y ALEGRIA 22 SAN LUIS GONZAGA,DRE CAJAMARCA,JAEN,JAEN,Primaria,EBR,Urbana,0,1,603,26.0,FA 22
224634,MARIA INMACULADA - FE Y ALEGRIA 78,DRE CAJAMARCA,JAEN,PUCARA,Primaria,EBR,Urbana,0,1,396,18.0,FA 78
262998,MARIA INMACULADA - FE Y ALEGRIA 78,DRE CAJAMARCA,JAEN,PUCARA,Secundaria,EBR,Urbana,0,1,370,24.0,FA 78
1085646,FE Y ALEGRIA 33,DRE CALLAO,CALLAO,MI PERU,Inicial - Jardín,EBR,Urbana,0,1,93,4.0,FA 33
693374,FE Y ALEGRIA 33,DRE CALLAO,CALLAO,MI PERU,Primaria,EBR,Urbana,0,1,849,33.0,FA 33
693382,FE Y ALEGRIA 33,DRE CALLAO,CALLAO,MI PERU,Secundaria,EBR,Urbana,0,1,688,35.0,FA 33
1084474,FE Y ALEGRIA 43,DRE CALLAO,CALLAO,VENTANILLA,Inicial - Jardín,EBR,Urbana,0,1,78,3.0,FA 43
