k,silhouette,davies_bouldin,calinski_harabasz,rank_sil,rank_ch,rank_db,rank_total
2,0.181430892153047,2.052093056247747,32.10382740128837,7.0,1.0,7.0,15.0
3,0.19962730298855844,1.7495993381948847,27.59893311973359,5.0,2.0,5.0,12.0
4,0.2024315249855376,1.7677222437493418,25.447797491689546,4.0,3.0,6.0,13.0
5,0.19444725140956898,1.6932353284242105,24.241296867997196,6.0,6.0,4.0,16.0
6,0.21926338549626814,1.5451625039528227,24.923400717233285,2.0,5.0,3.0,10.0
7,0.20423179463456956,1.2969368474486611,23.782382249225616,3.0,7.0,2.0,12.0
8,0.2225351239814401,1.2933779463217459,25.227802046332332,1.0,4.0,1.0,6.0
